50;1000;10
cp0;324978;129;1166;399;0;0
cp1;91873;73;595;444;0;0
cp2;327088;104;1051;611;0;0
cp3;442821;239;215;535;0;0
cp4;295549;182;273;327;0;0
cp5;420716;129;1042;541;0;0
cp6;416433;6;80;252;0;0
cp7;324046;32;474;236;0;0
cp8;350235;136;234;111;0;0
cp9;481860;136;898;126;0;0
cp10;451633;135;654;214;0;0
cp11;369624;235;1242;554;0;0
cp12;423193;16;390;610;0;0
cp13;198865;226;797;639;0;0
cp14;85183;28;7;530;0;0
cp15;63712;78;752;506;0;0
cp16;234948;182;908;559;0;0
cp17;16912;237;204;766;0;0
cp18;27848;93;1220;636;0;0
cp19;245677;237;219;603;0;0
cp20;182237;92;552;140;0;0
cp21;286918;30;329;577;0;0
cp22;183431;244;350;299;0;0
cp23;486981;91;73;333;0;0
cp24;415606;20;1340;56;0;0
cp25;100884;177;1372;711;0;0
cp26;159216;128;1169;20;0;0
cp27;384864;253;623;319;0;0
cp28;125245;181;1030;593;0;0
cp29;188761;56;396;578;0;0
cp30;461125;194;823;281;0;0
cp31;385673;250;27;751;0;0
cp32;234672;130;629;420;0;0
cp33;52386;92;958;584;0;0
cp34;251106;183;669;42;0;0
cp35;113993;230;324;275;0;0
cp36;424598;58;534;566;0;0
cp37;154748;138;988;777;0;0
cp38;123486;150;1177;122;0;0
cp39;320498;73;203;727;0;0
cp40;444538;79;59;34;0;0
cp41;458201;138;1238;711;0;0
cp42;10355;224;551;170;0;0
cp43;124216;175;26;6;0;0
cp44;129630;97;631;716;0;0
cp45;155777;189;1011;539;0;0
cp46;237071;60;1376;219;0;0
cp47;273586;88;215;568;0;0
cp48;282573;44;1063;652;0;0
cp49;103625;242;58;774;0;0
